Razão Social,Endereço,Município,UF,Licenciada (sim ou não),Latitude/Longitude,Canal/Frequência,Indicador
ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO E CULTURAL DE PEDRO GOMES - ACOPE,RUA ESPÍRITO SANTO,Pedro Gomes,MS,( S ),18S055300/54W331600,200 / 87.90,ZYL700
ASSOCIAÇÃO COMUNITÁRIA DOS MORADORES E AMIGOS DO JOCKEY CLUBE,RUA WASHINTONG LUIZ,Ponta Porã,MS,,22S332900/55W425700,285 / 104.90,ZYT625
"ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO, CULTURAL E SOCIAL DE PORTO MURTINHO",RUA AMADEU SANTOS SILVA,Porto Murtinho,MS,( S ),21S414000/57W525700,290 / 105.90,ZYT613
"ASSOCIAÇÃO DE RECUPERAÇÃO, CONSERVAÇÃO E PRESERVAÇÃO DA BACIA DO RIO PARDO","AVENIDA AURELIANO MOURA BRANDAO, 748",Ribas do Rio Pardo,MS,( S ),20S270000/53W453300,253 / 98.50,ZYC966
ASSOCIACAO COMUNITARIA CATIVA,RUA DR. JÚLIO SIQUEIRA MAIA,Rio Brilhante,MS,( S ),21S475600/54W324300,200 / 87.90,ZYC958
ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO E CULTURAL DE RIO NEGRO - ACORI,RUA MITSUO EZOE; S/N,Rio Negro,MS,( S ),19S245600/54W571100,200 / 87.90,ZYL695
ASSOCIAÇÃO COMUNITÁRIA RIO NEGRO DA COMUNIDADE DE RIO NEGRO,RUA DUQUE DE CAXIAS,Rio Negro,MS,( S ),19S271300/54W591900,200 / 87.90,ZYC943
ASSOCIAÇÃO PARA O FOMENTO E DESENVOLVIMENTO COMUNITÁRIO RIO VERDENSE - ÁGUAS DO PANTANAL,RUA PORFIRIO GONÇALVES;,Rio Verde de Mato Grosso,MS,( S ),18S550200/54W504500,200 / 87.90,ZYT618
ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO E CULTURAL DE ROCHEDO,RUA ALBINO COIMBRA,Rochedo,MS,( S ),19S571000/54W532200,253 / 98.50,ZYC940
ASSOCIACAO DE COMUNICACAO VALE DO RIO PARDO,RUA JOAO FERREIRA DA SILVA,Santa Rita do Pardo,MS,( S ),21S175700/52W492800,200 / 87.90,ZYL694
ASSOCIACAO DE DESENV.EDUC.CULT.AMB.DE SAO GABRIEL DO OESTE,"AVENIDA GETULIO VARGAS,757 -SALA 106 - CONDOMINIO",São Gabriel do Oeste,MS,( S ),19S235800/54W342100,200 / 87.90,ZYL683
ASSOCIAÇÃO CULTURAL COMUNITÁRIA SELVIRIENSE,RUA VEREADOR ISAC LALUCE,Selvíria,MS,( S ),20S215800/51W254000,285 / 104.90,ZYL724
ASSOCIACAO EDUCADORA SETE QUEDAS,,Sete Quedas,MS,( N ),,285 / 104.90,
ASSOCIAÇÃO CULTURAL DE RADIODIFUSÃO PÉROLA DO PLANALTO,"RUA SANTA CATARINA, 770",Sidrolândia,MS,( S ),20S554500/54W573600,253 / 98.50,ZYL685
"ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO, CULTURAL E INFORMAÇÃO PRINCESA DO NORTE","RUA DO CEDRO, 396",Sonora,MS,( S ),17S345300/54W452800,200 / 87.90,ZYC946
ASSOCIAÇÃO COMUNITÁRIA RÁDIO ONDAS VERDES FM,RUA LUIZ DE PAULIA - QUADRA 24 - LOTE F-2,Tacuru,MS,( S ),23S375500/55W010000,285 / 104.90,ZYT602
ASSOCIAÇÃO MOVIMENTO COMUNITÁRIO RÁDIO COMUNITÁRIA FM - AMCRC/FM,AVENIDA GETÚLIO VARFAS,Taquarussu,MS,,22S291600/53W211000,285 / 104.90,ZYL725
"ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO, CULTURAL, INFORMATIVO E SOCIAL DE TERENOS - MS",RUA N,Terenos,MS,( S ),20S270300/54W515700,253 / 98.50,ZYT603
ASSOCIAÇÃO COMUNITÁRIA DE ARAPUÁ,RUA EDUARDO GALVÃO,Três Lagoas,MS,( S ),20S472800/52W025700,200 / 87.90,ZYT601
ASSOCIAÇÃO CULTURAL COMUNITÁRIA DE TRÊS LAGOAS,RUA MUNIR THOME,Três Lagoas,MS,( S ),20S471100/51W423800,200 / 87.90,ZYC955
ASSOCIAÇÃO DE INTEGRAÇÃO DA COMUNIDADE DE TRÊS LAGOAS,RUA  VINTE E DOIS,Três Lagoas,MS,( S ),20S472700/51W394200,200 / 87.90,ZYL719
ASSOCIACAO COMUNITARIA VICENTINA,,Vicentina,MS,( N ),,200 / 87.90,
ASSOCIAÇÃO DE MORADORES DO BAIRRO CENTRO DE ACORIZAL,AVENIDA HONORATO PEDROSO DE BARROS,Acorizal,MT,( S ),15S111400/56W221000,200 / 87.90,ZYL669
ASSOCIAÇÃO CULTURAL COMUNITÁRIA SERIEMA,"AVENIDA ARAGUAIA, 347",Água Boa,MT,( S ),14S032400/52W093200,285 / 104.90,ZYC934
ASSOCIACAO RADIO COMUNITARIA ABV FM DE ALTO BOA VISTA,rua madureira,Alto Boa Vista,MT,( S ),11S403900/51W223000,200 / 87.90,ZYT661
ASSOCIAÇÃO COMUNITÁRIA CULTURAL GARÇAS,AVENIDA BENEDITO FERREIRA DE MOURA,Alto Garças,MT,( S ),16S570400/53W313400,200 / 87.90,ZYT667
ASSOCIACAO COMUNITÁRIA DE AMIGOS DE BAIRROS,RUA MASCARENHAS DE MORAES,Alto Paraguai,MT,,14S304000/56W290300,285 / 104.90,ZYX670
ASSOCIAÇÃO CULTURAL E COMUNITÁRIA RÁDIO LIVRE TAQUARI FM,,Alto Taquari,MT,( N ),,200 / 87.90,
ASSOCIAÇÃO DE AMIGOS DE APIACÁS,RUA DAS HORTENCIAS,Apiacás,MT,( S ),09S341900/57W234800,285 / 104.90,ZYX665
ASSOCIAÇÃO MOVIMENTO COMUNITÁRIO RÁDIO REGIONAL NAVEGANTES FM,RUA COMENDADOR MANOEL PEDRO OLIVEIRA,Aripuanã,MT,( S ),10S102300/59W270900,200 / 87.90,ZYT668
ASSOCIACAO CULTURAL MELGASSENSE,TRAVESSA DA IGREJINHA,Barão de Melgaço,MT,( S ),16S113900/55W575700,200 / 87.90,ZYT662
ASSOCIACAO RADIO COMUNITARIO ESPERANCA VIVA DISTRITO DO ASSARI-MT,,Barra do Bugres,MT,( N ),,200 / 87.90,
ASSOCIAÇÃO COMUNITÁRIA MOVIMENTO RÁDIO VALE DO RIO BUGRES FM,RUA TIMBIRAS,Barra do Bugres,MT,( S ),15S041300/57W112600,200 / 87.90,ZYX660
ASSOCIAÇÃO DE AMIGOS E MORADORES DE BRASNORTE - AAMB,RUA GUAIRÁ,Brasnorte,MT,( S ),12S071700/58W000400,200 / 87.90,ZYC931
ASSOCIAÇÃO MARECHAL RONDON DE CAMPINÁPOLIS - MT,RUA SÃO PAULO,Campinápolis,MT,( S ),14S265800/52W473400,200 / 87.90,ZYT676
ASSOCIAÇÃO COMUNITÁRIA CAMPONOVENSE DE RADIODIFUSÃO,AVENIDA BRASIL,Campo Novo do Parecis,MT,( S ),13S393300/57W532500,200 / 87.90,ZYT663
"ASSOCIACA COM.DE DESENV.ART,CULT,INFORM.SOCIAL DE CAMPOS DE",AVENIDA BRASILIA - QUADRA 11 - LOTE 03,Campos de Júlio,MT,( S ),13S433000/59W153700,200 / 87.90,ZYC968
ASSOCIAÇÃO CULTURAL COMUNITÁRIA DOS PIONEIROS DE CAMPOS DE JÚLIO,FAZENDA AGUA BOA-ANTIGA ESTRADA DE ACESSO P/ SAPEZ,Campos de Júlio,MT,( S ),13S400400/59W151600,200 / 87.90,ZYL672
ASSOCIAÇÃO COMUNITÁRIA VIDA NOVA DE CANARANA,RUA TENENTE PORTELA,Canarana,MT,( S ),13S330800/52W161700,200 / 87.90,ZYX644
ASSOCIACAO COMUNITARIA RADIO FM CLAUDIA - ACC,RUA FREDERICO CAMPOS,Cláudia,MT,( S ),11S300800/54W522200,200 / 87.90,ZYL665
ACCNR - ASSOCIACAO COMUNIT.CENTRO NORTE DE RADIO E DIFUSAO,"RUA MARECHAL DEODORO DA FONSECA, 1B",Colíder,MT,( S ),10S481900/55W273000,200 / 87.90,ZYC930
ASSOCIAÇÃO MOVIMENTO COMUNITÁRIO RÁDIO TRANS AMÉRICA - FM,AVENIDA PRINCIPAL,Colniza,MT,( S ),09S271800/59W132000,200 / 87.90,ZYT679
ASSOC.COMU.DE DES.ART.CULT.INFORMATIVO E SOCIAL DE COMODORO,"AVENIDA CONFAP, S/N - LOTE 1 QUADRA 40",Comodoro,MT,( S ),13S392700/59W472500,200 / 87.90,ZYC932
ASSOCIAÇÃO COMUNITÁRIA DE CULTURA DA CONFRESA,RUA GASPAR DUTRA,Confresa,MT,( S ),10S384100/51W340600,200 / 87.90,ZYX646
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DE CONQUISTA D'OESTE,,Conquista D'Oeste,MT,( N ),,285 / 104.90,
ASSOCIAÇÃO DA RÁDIO COMUNITÁRIA DE COTRIGUAÇU (ARCO),AVENIDA 20 DE DEZEMBRO,Cotriguaçu,MT,( S ),09S540800/58W335100,200 / 87.90,ZYT669
ASSOCIACAO BENEFICENTE COMUNITARIA 'ABC' - SHALON,"AVENIDA ARNALDO ADDOR, S/N",Cuiabá,MT,( S ),15S365700/56W073900,290 / 105.90,ZYC957
ASSOCIACAO COMUNIT.CUIABANA P/CULT.E DEFESA AMBIENTAL-ACUDAM,"RUA GALDINO PIMENTEL, 14 - SALA 92",Cuiabá,MT,( S ),15S355100/56W053900,290 / 105.90,ZYT645
ASSOCIAÇÃO MOVIMENTO COMUNITÁRIO RÁDIO EDUACATIVA FM DE CUIABÁ - MT,RUA  BAHIA,Cuiabá,MT,( S ),15S332500/56W025000,290 / 105.90,ZYT677
ASSOCIAÇÃO MOVIMENTO RÁDIO COMUNITÁRIA DO CPA IV E REGIÃO INDEPENDENTE FM,AVENIDA A,Cuiabá,MT,( S ),15S390100/56W020400,290 / 105.90,ZYX654
ASSOCIACAO COMUNITARIA DE DESENV. CULTURAL E AMBIENTAL DE CURVELANDIA,,Curvelândia,MT,( N ),,285 / 104.90,
ASSOCIAÇÃO COMUNITÁRIA DA CIDADE DE DENISE - MT,RUA TANCREDO NEVES,Denise,MT,( S ),14S434300/57W023300,285 / 104.90,ZYX642
ASSOCIACAO CULTURAL COMUNITARIA DE DIAMANTINO,RODOVIA MT 121 - KM 03,Diamantino,MT,( S ),14S231300/56W240500,285 / 104.90,ZYC935
ASSOCIAÇÃO COMUNITARIA CULTURAL E FOLCLORICA DE FELIZ NATAL,AVENIDA CHAPECÓ,Feliz Natal,MT,( S ),12S225400/54W560100,285 / 104.90,ZYX671
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO VALE DO XINGU,RUA MATO GROSSO,Gaúcha do Norte,MT,( S ),13S110300/53W152800,200 / 87.90,ZYX664
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO DE GUARANTÃ DO NORTE,,Guarantã do Norte,MT,( N ),,285 / 104.90,
ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO E CULTURAL DE GUIRATINGA,RUA GENEROSO PONCE,Guiratinga,MT,,16S203300/53W451900,285 / 104.90,ZYX672
ASSOCIAÇÃO ITANHANGAENSE DE RADIODIFUSÃO COMUNITÁRIA,,Itanhangá,MT,( N ),,200 / 87.90,
ASSOCIAÇÃO DOS MORADORES DO BAIRRO CENTRO DE ITAÚBA,AVENIDA DA SAUDE,Itaúba,MT,( S ),11S002900/55W144900,200 / 87.90,ZYX655
ASSOCIACAO COMUNITARIA CIDADE NOVA DE JAURU,,Jauru,MT,( N ),,285 / 104.90,
"ASSOCIAÇÃO DE DESENVOLVIMENTO ARTÍSTICO, CULTURAL E SOCIAL DE JUARA - MT",AVENIDA RIO DE JANEIRO,Juara,MT,( S ),11S152100/57W303800,200 / 87.90,ZYT641
ASSOCIAÇÃO CULTURAL E COMUNITÁRIA DE AMIGOS - ACCA,RUA PONTA GROSSA,Juína,MT,( S ),11S251400/58W461500,200 / 87.90,ZYX640
ASSOCIAÇÃO PRINCESA DE RÁDIO COMUNITÁRIA,AVENIDA CENTRO SUL,Juruena,MT,,10S194700/58W301500,200 / 87.90,ZYX651
ASSOCIAÇÃO LUVERDENSE DE RADIODIFUSÃO COMUNITÁRIA,RUA DAS BROMÉLIAS,Lucas do Rio Verde,MT,( S ),13S034100/55W551700,285 / 104.90,ZYL666
ASSOCIAÇÃO COMUNITÁRIA CULTURAL E FOLCLÓRICA DE MARCELÂNDIA,RUA BARRETOS,Marcelândia,MT,( S ),11S050900/54W312200,200 / 87.90,ZYC937
ASSOCIAÇÃO COMUNITÁRIA INTEGRADA DE RADIODIFUSÃO,AV. SEBASTIÃO ALVES JR.,Matupá,MT,( S ),10S103300/54W562000,285 / 104.90,ZYX663
ASSOCIACAO CULTURAL COMUNITARIA NOVO TEMPO,,Mirassol d'Oeste,MT,( N ),,285 / 104.90,
ASSOCIAÇÃO COMUNITÁRIA DESENVOLVIMENTO ARTÍSTICO CULTURAL INFORMATIVO E SOCIAL DE MIRASSOL D OESTE,RUA MARIA DOS ANJOS BRAGA,Mirassol d'Oeste,MT,( S ),15S402500/58W055700,285 / 104.90,ZYC965
ASSOCIACAO COMUNITARIA E CULTURAL JAPURANA DE RADIO FM,,Nova Bandeirantes,MT,( N ),,200 / 87.90,
"ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO, CULTURAL, INFORMATIVO E SOCIAL DE NOVA CANAÃ DO NORTE - MT",AVENIDA BRASIL; 64,Nova Canaã do Norte,MT,( S ),10S383000/55W422000,200 / 87.90,ZYT643
ASSOCIACAO DE AMIGOS DO MUNICIPIO DE NOVA GUARITA,"AVENIDA DOS IMIGRANTES, S/N",Nova Guarita,MT,( S ),10S184800/55W242700,200 / 87.90,ZYL668
ASSOCIAÇÃO COMUNITÁRIA DO CENTRO URBANO DE NOVA LACERDA,AVENIDA UIRAPURU,Nova Lacerda,MT,( S ),14S280300/59W351000,200 / 87.90,ZYX658
ASSOCIAÇÃO CULTURAL E ESPORTIVA DE NOVA MARINGÁ - ACENOMA,RUA SANTA ROSA,Nova Maringá,MT,( S ),13S015600/57W053800,200 / 87.90,ZYX652
ASSOCIAÇÃO COMUNITÁRIA RÁDIO FM DE NOVA OLÍMPIA,RUA JOSÉ ALVES LEÃO,Nova Olímpia,MT,( S ),14S465900/57W164000,285 / 104.90,ZYC936
ASSOCIACAO DE DESENVOLVIMENTO CULTURAL RADIO COMUNITARIA NOVA SANTA HELENA,,Nova Santa Helena,MT,( N ),,200 / 87.90,
RÁDIO COMUNITÁRIA RONCADOR DE NOVA XAVANTINA - RCR,AVENDIA GOVERNADOR PONCE DE ANDRADE; 496,Nova Xavantina,MT,( S ),14S410000/52W205000,285 / 104.90,ZYL671
ASSOCIAÇÃO NOVORIZONTINA DE DESENVOLVIMENTO ARTÍSTICO E SOCIAL,"AVENIDA MESTRE FALCAO, 156",Novo Horizonte do Norte,MT,( S ),11S231100/57W185100,200 / 87.90,ZYC964
ASSOCIAÇÃO LIVRE COMUNITÁRIA DE RADIODIFUSÃO - ATIVA FM,RUA JUSCELINO KUBISTCHECK,Novo Mundo,MT,( S ),09S483000/55W095200,285 / 104.90,ZYX643
ASSOCIAÇÃO DA RÁDIO COMUNITÁRIA RIO MANSO FM,RUA RIO MANSO,Novo São Joaquim,MT,,14S544500/53W010900,200 / 87.90,ZYC939
ASSOCIAÇÃO COMUNITÁRIA PARANAITENSE PARA O DESENVOLVIMENTO ARTÍSTIO E CULTURAL,RUA 107 - LOTE 07,Paranaíta,MT,( S ),09S401100/56W283500,200 / 87.90,ZYT670
ASSOCIAÇÃO MOVIMENTO COMUNITÁRIO RÁDIO EDUCATIVA FM DE PARANATINGA - MT,AVENIDA BRASIL,Paranatinga,MT,( S ),14S254800/54W025800,200 / 87.90,ZYC967
ASSOCIAÇÃO RÁDIO COMUNITÁRIA VALE DO JURIGUE,RUA PORTO MURTINHO,Pedra Preta,MT,,16S371900/54W280900,292 / 106.30,ZYX669
ASSOCIAÇÃO CULTURAL COMUNITÁRIA DE PEIXOTO DE AZEVEDO,AVENIDA BRASIL,Peixoto de Azevedo,MT,( S ),10S135800/54W591000,285 / 104.90,ZYX641
"ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO, CULTURAL, INFORMATIVO E SOCIAL DA CIDADE DE PLANALTO DA SERRA - MT",,Planalto da Serra,MT,( N ),,285 / 104.90,
"ASSOCIAÇÃO DA RÁDIO COMUNITÁRIA DINÂMICA DE PONTE BRANCA FM - 91,5",AVENIDA JOÃO NOGUEIRA,Ponte Branca,MT,( S ),16S455300/52W503400,200 / 87.90,ZYT675
ASSOCIAÇÃO AMIGOS DO VALE GUAPORÉ (AAVG),RUA CEARÁ,Pontes e Lacerda,MT,( S ),15S141900/59W201200,285 / 104.90,ZYT673
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DE PRIMAVERA DO LESTE,AVENIDA PORTO ALEGRE,Primavera do Leste,MT,( S ),15S333800/54W174300,285 / 104.90,ZYX648
ASSOCIAÇÃO COMUNITÁRIA QUERÊNCIA - ACQUER,RUA TENENTE PORTELA,Querência,MT,( S ),12S354700/52W122000,200 / 87.90,ZYX666
ASSOCIAÇÃO CULTURAL COMUNITÁRIA RÁDIO TERRA FM DE RIBEIRÃO CASCALHEIRA,RUA FORTALEZA,Ribeirão Cascalheira,MT,,12S563200/51W495300,200 / 87.90,ZYX661
ASSOCIAÇÃO DA RÁDIO LIVRE E COMUNITÁRIA DE RIO BRANCO - FM - ARLIRB,RUA IPIRANGA,Rio Branco,MT,( S ),15S143500/58W065800,285 / 104.90,ZYX656
ASSOCIAÇÃO COMUNITÁRIA DE RONDONÓPOLIS,"AVENIDA TIRADENTES, 1587",Rondonópolis,MT,( S ),16S280800/54W380900,292 / 106.30,ZYT642
ASSOCIACAO DOS FILHOS E AMIGOS DE ROSARIO OESTE - AFARO,"AVENIDA CORONEL ARTHUR BORGES, 306",Rosário Oeste,MT,( S ),14S495300/56W254500,200 / 87.90,ZYT644
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA ARTÍSTICA E CULTURAL DE SANTA CARMEM - MT - ARCASCA,AVENIDA DO COMERCIO,Santa Carmem,MT,,11S583200/55W164100,285 / 104.90,ZYX657
ASSOCIAÇÃO BENEFICENTE E DE COMUNICAÇÃO DE SANTA TERESINHA,Av. Felix de Morais,Santa Terezinha,MT,( S ),10S281800/50W302300,200 / 87.90,ZYX667
ASSOCIAÇÃO CULTURAL COMUNITÁRIA DE SANTO ANTÔNIO DO LEVERGER,RODOVIA PALMIRO PAES DE BARROS,Santo Antônio do Leverger,MT,( S ),15S513600/56W044200,200 / 87.90,ZYX668
ASSOCIAÇÃO COMUNITÁRIA BENEFICENTE RIOCLARENSE,RUA ACRE,São José do Rio Claro,MT,( S ),13S265300/56W432000,200 / 87.90,ZYX653
ASSOCIACAO DA RADIODIFUSAO COMUNITARIA DE SAO JOSE DOS QUATRO MARCOS,,São José dos Quatro Marcos,MT,( N ),,285 / 104.90,
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO DE SAPEZAL - MT,RUA DA PIABA; 790,Sapezal,MT,( S ),13S323700/58W484300,200 / 87.90,ZYL667
ASSOCIAÇÃO VALE TELES PIRES DE COMUNICAÇÃO - AVATEPIC,RUA DAS ROSAS,Sinop,MT,( S ),11S512500/55W301800,200 / 87.90,ZYT664
ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO E CULTURAL DE SORRISO - ACODESO,BR 163 - KM 742,Sorriso,MT,( S ),12S344200/55W432900,285 / 104.90,ZYX649
ASSOCIAÇÃO COMUNITÁRIA SORRISO,RUA OUTONO,Sorriso,MT,( S ),12S321700/55W432300,285 / 104.90,ZYT678
ASSOCIAÇÃO TABAPORÃENSE DE DESENVOLVIMENTO ARTÍSTICO E SOCIAL,AVENIDA DR. CARLOS VIDOTO,Tabaporã,MT,( S ),11S083000/56W511200,200 / 87.90,ZYT665
"ASSOCIAÇÃO CULTURAL SERRA, DENOMINADA ACS",RUA EUNICE,Tangará da Serra,MT,( S ),14S374400/57W293900,285 / 104.90,ZYX650
ASSOCIAÇÃO CULTURAL COMUNITÁRIA RUI BARBOSA,QUADRA CENTRAL 03 - LOTE 72 - CASA 27,Terra Nova do Norte,MT,( S ),10S355500/55W075800,285 / 104.90,ZYT674
"ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO, CULTURAL, INFORMATIVO E SOCIAL DE TESOURO - MT",RUA SANTA CRUZ,Tesouro,MT,( S ),16S045700/53W331500,285 / 104.90,ZYT666
ASSOCIAÇÃO COMUNITÁRIA RÁDIO UNISUL FM - ACRU,AV. PORTO ALEGRE; S/N,União do Sul,MT,( S ),11S315200/54W220600,200 / 87.90,ZYT672
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO VÁRZEA-GRANDENSE,RUA VEREADOR GONÇALO DOMINGOS DE CAMPOS,Várzea Grande,MT,( S ),15S385500/56W085900,290 / 105.90,ZYX659
ASSOCIAÇÃO DE RÁDIO COMUNITÁRIA CRISTO REI - ARCREI,RUA PROFESSORA ISABEL PINTO,Várzea Grande,MT,,15S382300/56W061800,290 / 105.90,ZYX645
ASSOCIACAO COMUNITARIA RADIO TROPICAL FM (ACRT/FM),RUA PADRE ANTONIO; 848 - LOTE 12 - QUADRA 19,Vera,MT,( S ),12S171900/55W182500,285 / 104.90,ZYL503
ASSOCIAÇÃO ALVORADA,RUA UM,Vila Rica,MT,( S ),10S005200/51W065000,200 / 87.90,ZYL664
RÁDIO COMUNITÁRIA GUARANY FM,RUA LAURO SODRÉ,Abaetetuba,PA,( S ),01S432100/48W530800,285 / 104.90,ZYD219
ASSOCIAÇÃO DE DESENVOLVIMENTO COMUNITÁRIO DE ABEL FIGUEIREDO - PA,RUA ODILON CARDOSO,Abel Figueiredo,PA,( S ),04S571300/48W233600,285 / 104.90,ZYD226
ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO E CULTURAL DE AFUÁ - ASCOA,TRAVESSA MARIANO CANDIDO DE ALMEIDA,Afuá,PA,,00S092600/50W233200,200 / 87.90,ZYX781
ASSOCIACAO RADIO COMUNITARIA DE ALENQUER,RUA CAPITÃO ANTÔNIO MONTEIRO NEVES,Alenquer,PA,( S ),01S570000/54W442700,200 / 87.90,ZYX768
ASSOCIACAO DE RADIO COMUNITARIA DE MONTE DOURADO DA AMAZONIA,RUA 95 - SALA A,Almeirim,PA,( S ),00S515500/52W321700,285 / 104.90,ZYD218
CENTRO DE DESENVOLVIMENTO COMUNITARIO DE MUNGUBA,RUA AMAZON,Almeirim,PA,( S ),00S542200/52W260000,285 / 104.90,ZYD237
ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO E CULTURAL DE ALTAMIRA - ASSOMIRA,AVENIDA  DJALMA DUTRA,Altamira,PA,( S ),03S122100/52W124200,285 / 104.90,ZYT751
ASSOCIAÇÃO RÁDIO COMUNITÁRIA DE ALTAMIRA,CHÁCARA MADEX - RODOVIA ERNESTO,Altamira,PA,( S ),03S105000/52W110600,285 / 104.90,ZYT758
ASSOCIAÇÃO CULTURAL DE COMUNICAÇÃO MEGA CIDADE,TRAVESSA  WE-32,Ananindeua,PA,( S ),01S214400/48W241300,200 / 87.90,ZYT784
"ASSOCIAÇÃO CULTURAL DE DIFUSÃO COMUNITÁRIA FM CABANA 103,3",RUA PARABOR,Ananindeua,PA,,01S235100/48W250300,200 / 87.90,ZYX759
ASSOCIAÇÃO SOCIAL E BENEFICENTE DISTRITAL,AVENIDA ZACARIAS DE ASSUNÇÃO - QUADRA 31 - CA 3,Ananindeua,PA,( S ),01S211500/48W215900,200 / 87.90,ZYX766
ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO E CULTURAL DE ANAPU - ASSANA,RUA SANTA LUZIA,Anapu,PA,( S ),03S275100/51W121800,200 / 87.90,ZYT756
ASSOCIAÇÃO RÁDIO COMUNITÁRIA DO TAPAJÓS,,Aveiro,PA,( N ),,200 / 87.90,
ASSOCIAÇÃO AVEIRENSE DE RÁDIO COMUNITÁRIA TROPICAL - FM,AVENIDA MAGALHÃES BARATA,Aveiro,PA,( S ),03S361300/55W195100,200 / 87.90,ZYX763
ASSOCIAÇÃO BAIONENSE DE RADIODIFUSÃO COMUNITÁRIA,AVENIDA LEVINDO ROCHA,Baião,PA,,02S472600/49W401800,285 / 104.90,ZYT753
ASSOCIAÇÃO DE COMUNICAÇÃO SOCIAL E CULTURAL DO BAIXO TOCANTINS,RODOVIA MOURA CARVALHO,Barcarena,PA,( S ),01S282500/48W353300,200 / 87.90,ZYX755
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA BARCARENA FM,RODOVIA MOURA CARVALHO,Barcarena,PA,( S ),01S310700/48W364900,200 / 87.90,ZYL789
"ONG-INSTITUTO NOSSA SENHORA DE NAZARÉ DE EDUC., ESPOR. E LAZER DE BARCARENA PARÁ - INSNEELB",TRAVESSA JOSE DOS PASSOS,Barcarena,PA,,01S305100/48W414100,200 / 87.90,ZYX765
ASSOCIAÇÃO BENEFICENTE CULTURAL E COMUNITÁRIA VIVA MOSQUEIRO,RUA 15 DE NOVEMBRO,Belém,PA,,01S095000/48W281900,285 / 104.90,ZYX785
ASSOCIAÇÃO CULT.DAS ENTIDADES MANTENEDORAS DE RADIODIF.COMUNITARIA,PASSAGEM ADAO - ALTOS,Belém,PA,( S ),01S242000/48W262000,285 / 104.90,ZYD224
ASSOCIAÇÃO DOS FÃS CLUBES DO PARA,RUA LOPO DE CASTRO,Belém,PA,( S ),01S175300/48W284500,285 / 104.90,ZYX761
ONG - SOCIEDADE VIVA MOSQUEIRO,AVENIDA  BEIRA-MAR,Belém,PA,( S ),01S075100/48W270700,285 / 104.90,ZYX760
ASSOCIACAO RADIO COMUNITARIA DE BELTERRA,"ESTRADA UM, S/N - PROXIMO AO MERCADO MUNICIPAL",Belterra,PA,( S ),02S381600/54W561100,200 / 87.90,ZYL768
ASSOCIAÇÃO DE DIFUSÃO COMUNITARIA BENEVIDES FM,RUA PAUL BEGOT,Benevides,PA,,01S214300/48W143100,200 / 87.90,ZYX777
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DE BOM JESUS DO TOCANTINS - PARÁ - ACCBJT,AVENIDA JARBAS PASSARINHO,Bom Jesus do Tocantins,PA,,05S024400/48W355800,285 / 104.90,ZYX752
ASSOCIAÇÃO DE DESENVOLVIMENTO SUSTENTÁVEL DE BONITO,AVENIDA RUTH PASSARINHO,Bonito,PA,( S ),01S214800/47W182000,200 / 87.90,ZYT789
ASSOCIAÇÃO DE DESENVOLVIMENTO COMUNITÁRIO E CULTURAL DE BRAGANÇA - ASDEGAB,ROD PA-242; KM 04,Bragança,PA,( S ),01S034300/46W475600,285 / 104.90,ZYX756
ASSOCIAÇÃO DE CULTURA E INFORMAÇÃO DE BRASIL NOVO,TRAVESSA OLAVO BILAC,Brasil Novo,PA,( S ),03S181700/52W322800,200 / 87.90,ZYT785
ASSOCIAÇÃO COMUNITÁRIA EDUCATIVA DE RADIODIFUSÃO DE BREVES,RUA DR. ASSIS,Breves,PA,,01S412300/50W290300,285 / 104.90,ZYX776
